Title,Por_Sinonimos,Por_Abreviaturas,Por_Siglas,Por_verbs,Infinitive_Verbs_number,Gerund_Verbs_number,Participle_Verbs_number,imperative_Verbs_number,Determiners_number,Preposition_number,Noun,Por_Desconocidas,Por_Largas,Por_Superlativos,Por_Adverbios_mente,Por_Adverbios,Por_Simbolos,Por_Inderterminados,Por_numeros,Por_complex,Por_muy_frecuentes,Por_frecuentes,Por_poco_frecuentes,Por_muy_frecuentes_sub,Por_frecuentes_sub,Por_poco_frecuentes_sub,Por_comillas,Por_Homo,Ratio_Palabra_Frases,Ratio_Caracteres_Palabra,Comas/frases,%comas,%puntos,punto_y_coma,date,%date_mal,doble_negacion,partitivos o porcentajes,presente_indicativo,subjuntivo,condicional,nverbseguidos,%puntuacion,%etc,%mayus_no_sigla,%sin_palabras,%ordinales,%romanos,%general,%especifico,%dos_puntos,#words,#frases,Tipo
SolicitarInformeVidaLaboralGeneralH,3.6231884057971016,0.0,0.36231884057971014,14.492753623188406,3.9855072463768115,0.7246376811594203,2.536231884057971,0.36231884057971014,14.492753623188406,15.942028985507246,25.0,0.0,5.072463768115942,0.0,0.0,1.4492753623188406,0.36231884057971014,0.0,0.0,0.36231884057971014,75.0,6.521739130434782,0.7246376811594203,67.7536231884058,1.4492753623188406,5.072463768115942,0.0,2.1739130434782608,23.166666666666668,0.0,0.5833333333333334,2.536231884057971,4.3478260869565215,0.0,0.0,0.0,0.36231884057971014,0.0,3.260869565217391,0.7246376811594203,0.0,7.246376811594203,13.405797101449275,0.0,0.36231884057971014,10.526315789473685,0.0,0.0,0.7518796992481203,99.24812030075188,0.0,278,12,Dificil
InscribirseGarantiaJuvenilH,3.764705882352941,0.0,0.7058823529411765,14.588235294117647,5.411764705882353,0.47058823529411764,2.823529411764706,0.0,14.117647058823529,16.705882352941178,25.41176470588235,0.0,5.176470588235294,0.0,0.0,1.411764705882353,0.0,0.0,0.47058823529411764,0.0,81.88235294117646,2.823529411764706,0.7058823529411765,67.52941176470588,0.47058823529411764,5.647058823529412,0.0,3.5294117647058822,28.666666666666668,0.0,0.8666666666666667,3.0588235294117645,2.823529411764706,0.0,0.0,0.0,0.0,0.0,3.0588235294117645,1.8823529411764706,0.0,6.117647058823529,11.764705882352942,0.0,0.7058823529411765,8.866995073891626,0.0,0.0,0.9852216748768473,99.01477832512315,0.47058823529411764,430,15,Dificil
AyudasDespuesParoH,1.8987341772151898,0.0,0.6329113924050633,10.126582278481013,2.2151898734177213,0.31645569620253167,2.3734177215189876,0.0,16.455696202531644,17.40506329113924,24.841772151898734,0.0,6.80379746835443,0.0,0.15822784810126583,1.2658227848101267,0.9493670886075949,0.0,0.15822784810126583,0.0,76.74050632911393,4.430379746835443,1.5822784810126582,67.24683544303798,0.47468354430379744,5.379746835443038,0.0,2.689873417721519,23.384615384615383,0.0,1.1923076923076923,4.905063291139241,4.113924050632911,0.0,0.0,0.0,0.0,0.15822784810126583,2.0569620253164556,1.2658227848101267,0.15822784810126583,3.1645569620253164,14.39873417721519,0.0,0.7911392405063291,4.761904761904762,0.0,0.0,1.2987012987012987,98.7012987012987,0.31645569620253167,608,26,Dificil
ContratoIndefinidoH,4.3478260869565215,0.0,0.0,11.304347826086957,3.4782608695652173,0.8695652173913043,0.8695652173913043,0.0,14.782608695652174,19.130434782608695,24.347826086956523,0.0,5.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.34782608695652,2.608695652173913,0.8695652173913043,73.04347826086956,1.7391304347826086,5.217391304347826,0.0,1.7391304347826086,37.333333333333336,0.0,2.3333333333333335,6.086956521739131,2.608695652173913,0.0,0.0,0.0,0.0,0.0,2.608695652173913,1.7391304347826086,0.0,3.4782608695652173,11.304347826086957,0.0,0.0,11.290322580645162,0.0,0.0,1.6129032258064515,98.38709677419355,0.0,112,3,Dificil
PlanRetornoDobleNacionalidadH,7.281553398058253,0.0,0.6067961165048543,14.320388349514563,4.611650485436893,0.4854368932038835,3.6407766990291264,0.12135922330097088,12.37864077669903,17.718446601941746,24.87864077669903,0.0,5.218446601941747,0.0,0.24271844660194175,2.5485436893203883,0.7281553398058253,0.0,0.0,0.12135922330097088,79.73300970873787,4.733009708737864,0.7281553398058253,69.1747572815534,0.8495145631067961,4.733009708737864,0.0,2.4271844660194173,39.31818181818182,0.0,2.4545454545454546,6.553398058252427,2.5485436893203883,0.0,0.0,0.0,0.24271844660194175,0.0,2.063106796116505,2.1844660194174756,0.0,6.067961165048544,10.558252427184467,0.0,0.3640776699029126,14.779874213836479,0.0,0.0,1.5723270440251573,98.42767295597484,0.3640776699029126,865,22,Dificil
CertificadoFacilH,4.130434782608695,0.10869565217391304,1.8478260869565217,14.565217391304348,4.239130434782608,0.8695652173913043,1.6304347826086956,0.0,14.021739130434783,14.565217391304348,24.891304347826086,0.0,6.630434782608695,0.0,0.6521739130434783,1.3043478260869565,1.8478260869565217,0.0,1.4130434782608696,0.0,72.6086956521739,8.26086956521739,0.32608695652173914,65.8695652173913,1.1956521739130435,5.217391304347826,0.0,2.5,19.382978723404257,0.0,0.40425531914893614,2.0652173913043477,4.891304347826087,0.0,0.10869565217391304,0.0,0.10869565217391304,0.0,3.4782608695652173,1.1956521739130435,0.0,7.391304347826087,13.91304347826087,0.0,0.9782608695652174,10.0,0.0,0.0,2.0689655172413794,97.93103448275862,2.1739130434782608,911,47,Dificil
CobrarParoTrabajarTiempoParcialH,2.456140350877193,0.0,2.1052631578947367,17.894736842105264,6.315789473684211,1.4035087719298245,1.4035087719298245,0.3508771929824561,10.526315789473685,14.385964912280702,19.649122807017545,0.0,5.614035087719298,0.0,0.0,1.7543859649122806,1.0526315789473684,0.0,0.3508771929824561,0.0,75.08771929824562,5.964912280701754,1.0526315789473684,61.05263157894737,1.0526315789473684,9.12280701754386,0.0,4.912280701754386,36.375,0.0,1.875,5.2631578947368425,2.807017543859649,0.0,0.7017543859649122,0.0,0.3508771929824561,0.0,5.614035087719298,1.7543859649122806,0.0,7.719298245614035,13.68421052631579,0.0,0.7017543859649122,9.923664122137405,0.0,0.0,0.0,100.0,0.3508771929824561,291,8,Dificil
CalendarioDelContribuyenteH,4.489795918367347,0.09419152276295134,1.7111459968602827,5.729984301412872,1.1930926216640503,0.15698587127158556,1.978021978021978,0.03139717425431711,10.832025117739404,16.656200941915227,22.48037676609105,0.0,7.723704866562009,0.0,0.20408163265306123,0.957613814756672,1.1616954474097332,0.0,8.069073783359498,0.0,63.13971742543171,4.803767660910518,1.1773940345368916,52.700156985871274,1.444270015698587,6.7189952904238615,0.09419152276295134,3.8618524332810047,26.613445378151262,0.0,1.726890756302521,6.452119309262167,3.767660910518053,0.015698587127158554,2.291993720565149,0.0,0.04709576138147567,0.015698587127158554,0.7378335949764521,1.1459968602825745,0.0,1.3814756671899528,18.665620094191524,0.015698587127158554,0.847723704866562,12.702265372168284,0.0,0.0,1.5372168284789645,98.46278317152104,2.260596546310832,6334,238,Dificil
AyudasAlquilerViviendaH,3.125,0.0,1.875,3.75,1.25,0.0,2.5,0.0,11.25,20.625,32.5,0.0,5.625,0.0,0.0,0.0,1.25,0.0,3.75,0.0,76.25,0.0,0.0,64.375,0.0,3.75,0.0,5.625,40.25,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,13.125,0.0,0.0,4.0,0.0,0.0,1.3333333333333333,98.66666666666667,4.375,161,4,Dificil
CobrarParoPluriempleoH,1.0526315789473684,1.0526315789473684,18.94736842105263,14.736842105263158,5.2631578947368425,0.0,2.1052631578947367,0.0,14.736842105263158,18.94736842105263,25.263157894736842,0.0,9.473684210526315,0.0,1.0526315789473684,2.1052631578947367,0.0,0.0,0.0,0.0,76.84210526315789,5.2631578947368425,0.0,65.26315789473684,2.1052631578947367,4.2105263157894735,0.0,5.2631578947368425,28.75,0.0,0.5,2.1052631578947367,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,3.1578947368421053,0.0,8.421052631578947,10.526315789473685,1.0526315789473684,7.368421052631579,2.5,0.0,0.0,0.0,100.0,0.0,115,4,Dificil
